Manufacturer,Webbing,Material,MBS,Weight,Stretch,Stretch,Width,Cost,Link
n/a,n/a,n/a,kN,g/m,pct_at_6kN,pct_at_10kN,mm,usd/m,n/a
Balance Community,Heavy,Nylon,45,100,8.87,13.12,25.4,3.5,https://www.balancecommunity.com/collections/webbing/products/heavy?variant=39354488913978
Balance Community,Green,Nylon,26,53,8.52,11.72,25.4,2.35,https://www.balancecommunity.com/products/green?variant=29482060087365
Balance Community,Greem_20,Nylon,25,53,8.52,11.72,20,2.45,https://www.balancecommunity.com/products/green-20?variant=39247670542394
Balance Community,Blue,Polyester,25,55,3.76,7.51,25.4,2,https://www.balancecommunity.com/collections/webbing/products/blue?variant=29482051665989
Balance Community,Blue_20,Polyester,24,53,3.76,7.51,20,2,https://www.balancecommunity.com/products/blue-20?variant=39247681519674
Balance Community,Lift_2be,Nylon,21.5,48,12.88,16.9,25.4,2.35,https://www.balancecommunity.com/products/lift-2be?variant=31873650688058
Balance Community,Type_18_MKII,Nylon,32,62,9.22,13.14,25.4,2.5,https://www.balancecommunity.com/products/type-18-mkii?variant=32251132608570
Balance Community,Feather_Pro,Polyester,29,51,6.15,10.46,25.4,2.45,https://www.balancecommunity.com/products/feather-pro?variant=29188207706181
Balance Community,Jybn,Nylon,26,51,12.84,19.6,25.4,1.5,https://www.balancecommunity.com/products/jybn?variant=31343903637562
Balance Community,Jelly,Polyester,20,45,4.5,7.01,25.4,2,https://www.balancecommunity.com/products/jelly-webbing?variant=32226238660666
